0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:10 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:10 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:12 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:12 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:14 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:37 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1781
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:39 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:39 -0300] "GET /PI-AssistenciaTecnica/js/recepcao.js HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:39 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:39 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 200 55056
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:13:39 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 200 9699
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:34 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:34 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:34 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:34 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:34 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:37 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:15:37 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:02 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1381
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:02 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1070
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:02 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 36828
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:02 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 1615
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:02 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Nov/2021:11:16:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente.html HTTP/1.1" 304 -
