0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:41 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:43 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:45 -0300] "PUT /PI-AssistenciaTecnica/rest/servicos/aprovarOrcamento/1/4 HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:45 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:49 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:51 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:55 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:04:58 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:05:00 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:05:00 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2022:19:05:00 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 761
