0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:58:59 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:58:59 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:58:59 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:59:00 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:59:01 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:59:05 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:59:05 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:18:59:05 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:03 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:03 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_aprovarOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:03 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=1 HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-icons_222222_256x240.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_diagonals-thick_20_666666_40x40.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:04 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:05 -0300] "GET /PI-AssistenciaTecnica/css/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:06 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentoId?idorcamento=2 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:09 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_cliente/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:09 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroCliente.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:09 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:09 -0300] "GET /PI-AssistenciaTecnica/imgs/edit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:09 -0300] "GET /PI-AssistenciaTecnica/imgs/delete.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:11 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/cadastro_orcamento/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:11 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_cadastroOrcamento.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:06:11 -0300] "GET /PI-AssistenciaTecnica/rest/cliente/buscar HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:10:06 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_ordemServico/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:10:06 -0300] "GET /PI-AssistenciaTecnica/js/recepcao_consultaOS.js HTTP/1.1" 200 1971
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:10:06 -0300] "GET /PI-AssistenciaTecnica/rest/servicos/buscarOrcamentos HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:50 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/index.html HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:50 -0300] "GET /PI-AssistenciaTecnica/css/recepcao.css HTTP/1.1" 200 2236
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:50 -0300] "GET /PI-AssistenciaTecnica/js/general.js HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:50 -0300] "GET /PI-AssistenciaTecnica/css/jquery-ui.css HTTP/1.1" 200 38140
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:50 -0300] "GET /PI-AssistenciaTecnica/js/jquery-ui.js HTTP/1.1" 200 539421
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:51 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/geral/cabecalho.html HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [17/Dec/2021:19:14:52 -0300] "GET /PI-AssistenciaTecnica/pages/recepcao/funcao/consulta_orcamento/ HTTP/1.1" 304 -
